日期,七彩椒(1),七彩椒(2),上海青,上海青(份),东门口小白菜,云南油麦菜,云南油麦菜(份),云南生菜,云南生菜(份),余干椒,冰草,冰草(盒),净藕(1),净藕(3),双孢菇,双孢菇(盒),双沟白菜,和丰阳光海鲜菇(包),四川红香椿,圆茄子(2),外地茼蒿,大白菜,奶白菜,姜蒜小米椒组合装(小份),姬菇(1),姬菇(份),姬菇(包),娃娃菜,小白菜,小皱皮,小皱皮(份),小米椒,小米椒(份),小青菜(1),平菇,春菜,木耳菜,木耳菜(份),本地上海青,杏鲍菇(1),杏鲍菇(2),杏鲍菇(袋),枝江红菜苔,枝江青梗散花,水果辣椒,水果辣椒(份),水果辣椒(橙色),泡泡椒(精品),洪山菜薹珍品手提袋,洪山菜薹莲藕拼装礼盒,洪湖莲藕(粉藕),洪湖藕带,活体银耳,海鲜菇(1),海鲜菇(包),海鲜菇(袋)(3),海鲜菇(袋)(4),灯笼椒(1),灯笼椒(2),牛首生菜,甘蓝叶,甜白菜,田七,白玉菇(1),白玉菇(2),白玉菇(袋),竹叶菜,竹叶菜(份),紫白菜(1),紫苏,紫茄子(1),紫茄子(2),紫贝菜,红尖椒,红杭椒,红杭椒(份),红椒(1),红椒(2),红灯笼椒(1),红灯笼椒(2),红线椒,红莲藕带,红薯尖,组合椒系列,芜湖青椒(1),芜湖青椒(2),芝麻苋菜,芥兰,花茄子,苋菜,苋菜(份),茶树菇(袋),荸荠,莲蓬(个),菌菇火锅套餐(份),菌蔬四宝(份),菜心,菜心(份),菠菜,菠菜(份),菱角,萝卜叶,虫草花,虫草花(份),螺丝椒,螺丝椒(份),蟹味菇(1),蟹味菇(袋),蟹味菇与白玉菇双拼(盒),襄甜红菜苔(袋),西兰花,西峡花菇(1),西峡香菇(1),野生粉藕,野藕(1),金针菇(1),金针菇(2),金针菇(份),金针菇(盒),金针菇(袋)(2),银耳(朵),长线茄,随州泡泡青,青尖椒,青尖椒(份),青杭椒(1),青杭椒(2),青梗散花,青红杭椒组合装(份),青线椒,青线椒(份),青茄子(1),青菜苔,高瓜(1),高瓜(2),鱼腥草(份),鲜木耳(1),鲜木耳(份),鲜藕带(袋),鸡枞菌,黄心菜(1),黄心菜(2),黄白菜(2)
2020-07-11,8.3,,6.25,,4.32,3.75,,7.03,,,,,9.0,,,,,,,,10.61,2.1,,,7.86,,,4.04,10.38,,,10.2,,,,,4.24,,,6.11,,,,,,,,5.64,,,,,,10.0,,,,4.72,,,,5.05,,,,,2.37,,,,,5.42,,,6.37,,6.6,,11.9,,,,3.6,,,,,,,2.38,,,,,,,4.77,,,,,,,,7.51,,,,,,8.91,,12.0,,,4.13,,,,,,,,,,,,3.86,,8.15,,2.19,,5.41,,,,,,,,,5.31
2020-07-12,7.83,,6.25,,4.26,3.75,,6.92,,,,,9.0,,,,,,,,11.06,2.1,,,7.81,,,4.05,10.39,,,10.19,,,,,4.43,,,6.08,,,,,,,,6.08,,,,24.05,,10.01,,,,7.38,,,,4.94,,,2.07,,2.24,,,,,5.05,,,6.72,,5.56,,11.37,,,,3.6,,,,,,,2.39,,,,,,,4.86,,,,,,,,6.27,,,,,,8.49,,12.0,,,4.25,,,,,,,,4.94,,,,3.48,,7.91,,2.22,,5.41,,,,,,,,,5.31
2020-07-13,8.8,,6.25,,3.76,3.75,,6.92,,,,,9.0,,,,,,,,,2.1,,,7.84,,,4.05,10.35,,,10.18,,,,,4.25,,,6.06,,,,,,,,5.86,,,,,,10.03,,,,7.09,,,,4.97,,,,,2.17,,,,,5.42,,,6.9,,5.5,,11.36,,,,3.6,,,,,,,,,,,,,,4.92,,,,,,,,6.27,,,,,,8.29,,12.0,,,3.75,,,,,,,,5.24,,,,3.33,,7.8,,2.2,,5.4,,,,,,,,,5.31
2020-07-14,11.45,,6.0,,3.64,3.75,,6.92,,,,,8.0,,,,,,,,,1.91,,,7.8,,,4.0,10.35,,,9.84,,,,,4.27,,,6.05,,,,,,,,5.35,,,,,,9.94,,,,4.94,,,,5.0,,,2.04,,1.76,,,,,5.67,,,7.32,,5.9,,12.22,,,,3.2,,,,,,,,,,,,,,4.88,,,,,,,,6.4,,,,,,7.79,,12.0,,,3.75,,,,,,,,5.06,,,,2.97,,6.84,,2.16,,5.24,,,,,,,,,5.31
2020-07-15,11.9,,5.7,,3.65,3.75,,6.91,,,,,8.0,,,,,,,,,1.52,,,7.81,,,4.03,,,,9.86,,,,,4.26,,,6.07,,,,,,,,5.59,,,,,,9.96,,,,4.46,,,,5.0,,,2.05,,1.77,,,,,5.69,,,7.97,,6.36,,11.65,,,,3.2,,,,,,,,,,,,,,4.91,,,,,,,,6.38,,,,,,7.76,,12.0,,,4.22,,,,,,,,5.04,,,,2.87,,7.06,,2.49,,5.24,,,,,,,,,5.31
2020-07-16,12.51,,5.67,,3.65,3.75,,6.8,,,,,8.0,,,,,,,,,1.4,,,7.82,,3.1,4.07,10.83,,,10.09,,,,,4.26,,,6.05,,,,,,,,5.56,,,,,,9.97,,,,4.45,,,,5.0,,,2.03,,1.76,,,,,5.66,,,8.46,,7.5,,11.3,,,,3.2,,,,,,,,,,,,,,4.47,,,,,,,,6.24,,,,,,7.74,,12.0,,,4.25,,,,,,,,5.04,,,,2.82,,7.58,,2.46,,5.26,,,,,,,,,5.31
2020-07-17,12.96,,5.67,,3.53,3.75,,6.8,,,,,8.0,,,,,,,,,1.4,,,7.78,,3.08,4.08,10.95,,,10.28,,,,,4.27,,,6.03,,,,,,,,5.23,,,,,,9.96,,,,4.37,,,,5.0,,,2.03,,1.76,,,,,5.14,,,8.86,,7.58,,11.37,,,,3.2,,,,,,,3.26,,,,,,,4.4,,,,,,,,6.24,,,,,,7.72,,12.0,,,4.74,,,,,,,,5.03,,,,3.22,,7.56,,2.45,,5.42,,,,,,,,,5.31
2020-07-18,13.74,,5.38,,,3.75,,6.8,,,,,8.0,,,,,,,,,1.4,,,7.79,,3.09,4.08,10.85,,,10.43,,,,,4.35,,,6.05,,,,,,,,5.02,,,,,,9.91,,,,5.73,,,,5.0,,,2.02,,1.76,,,,,5.14,,,8.93,,8.3,,12.0,,,,2.83,,,,,,,3.22,,,,,,,4.37,,,,,,,,6.12,,,,,,7.75,,12.0,,,5.02,,,,,,,,4.96,,,,3.21,,6.72,,2.55,,5.45,,,,,,,,,5.31
2020-07-19,12.29,,5.33,,,3.78,,6.8,,,,,8.0,,,,,,,,,1.4,,,7.81,,3.12,4.06,10.97,,,10.29,,,,,4.37,,,6.07,,,,,,,,6.19,,,,,,9.9,,,,4.13,,,,4.55,,,2.05,,2.1,,,,,5.14,,,9.02,,8.95,,11.21,,,,2.8,,,,,,,,,,,,,,4.38,,,,,,,,6.15,,,,,,7.86,,12.0,,,5.04,,,,,,,,4.8,,,,3.28,,6.24,,2.71,,5.43,,,,,,,,,5.31
2020-07-20,12.44,,5.33,,,3.83,,6.8,,,,,8.0,,,,,,,,,1.56,,,7.82,,3.13,4.07,10.05,,,10.21,,,,,4.37,,,6.08,,,,,,,,6.15,,,,,,9.96,,,,,,,,4.22,,,2.07,,2.18,,,,,5.14,,,8.88,,8.71,,11.24,,,,2.8,,,,,,,,,,,,,,4.38,,,,,,,,6.21,,,,,,7.86,,12.0,,,5.05,,,,,,,,5.05,,,,3.38,,6.25,,2.71,,5.44,,,,,,,,,5.31
2020-07-21,12.55,,5.33,,,3.75,,6.66,,,,,8.0,,,,,,,,,1.8,,,7.84,,3.14,4.07,9.83,,,10.21,,,,,4.29,,,6.1,,,,,,,,5.8,,,,20.0,,9.96,,,,3.99,,,,4.64,,,2.07,,2.17,,,,,5.14,,,8.91,,8.7,,11.35,,,,2.8,,,,,,,3.37,,,,,,,4.33,,,,,,,,5.28,,,,,,7.77,,12.0,,,5.05,,,,,,,,5.06,,,,3.37,,6.3,,3.0,,5.51,,,,,,,,,5.31
2020-07-22,11.26,,4.57,,,3.75,,6.54,,,,,8.0,,,,,,,,,1.8,,,7.84,,3.16,4.07,9.85,,,10.66,,,,,4.3,,,5.97,,,,,,,,5.5,,,,20.0,,9.99,,,,4.0,,,,5.0,,,2.08,,2.17,,,,,4.73,,,9.11,,8.8,,11.29,,,,2.8,,,,,,,3.5,,,,,,,4.2,,,,,,,,5.07,,,,,,7.75,,12.0,,,5.04,,,,,,,,5.06,,,,3.37,,6.32,,3.04,,5.52,,,,,,,,,5.31
2020-07-23,11.43,,4.19,,,4.27,,6.15,,,,,8.0,,,,,,,,,2.0,,,7.93,,3.2,4.05,9.93,,,7.0,,,,,4.26,,,5.63,,,,,,,,5.67,,,,,,10.03,,,,3.52,,,,5.0,,,2.13,,2.6,,,,,4.77,,,10.25,,11.96,,11.8,,,,2.8,,,,,,,4.26,,,,1.44,,,4.36,,,,,,,,5.11,,,,,,8.26,,12.0,,,5.33,,,,,,,,5.29,,,,4.77,,6.3,,3.46,,6.49,,,,,,,,,4.77
2020-07-24,11.61,,4.19,,,4.37,,6.15,,,,,8.0,,,,,,,,,,,,7.83,,3.13,4.03,9.82,,,10.74,,,,,4.24,,,5.62,,,,,,,,6.26,,,,22.0,,9.98,,,,3.62,,,,5.77,,,2.07,,2.79,,,,,5.18,,,8.88,,11.29,,11.8,,,,2.8,,,,,,,,,,,,,,4.34,,,,,,,,5.06,,,,,,8.63,,12.0,,,5.31,,,,,,,,4.59,,,,4.7,,6.68,,3.39,,6.88,,,,,,,,,4.69
2020-07-25,11.16,,4.97,,,4.38,,6.15,,,,,8.0,,,,,,,,,2.0,,,7.8,,3.11,4.03,9.79,,,10.82,,,,,4.23,,,5.61,,,,,,,,6.66,,,,,,9.95,,,,3.63,,,,5.54,,,2.07,,3.2,,,,,5.2,,,9.84,,11.56,,11.27,,,,2.8,,,,,,,4.22,,,,,,,4.33,,,,,,,,5.06,,,,,,9.18,,12.0,,,5.3,,,,,,,,4.75,,,,4.67,,6.81,,3.55,,6.92,,,,,,,,,4.69
2020-07-26,10.47,,5.0,,,4.37,,6.15,,,,,8.0,,,,,,,,,2.0,,,7.73,,3.06,4.03,9.72,,,10.82,,,,,4.23,,,5.62,,,,,,,,6.68,,,,22.0,,9.95,,,,5.69,,,,5.0,,,2.05,,3.34,,,,,5.29,,,11.52,,11.82,,10.59,,,,3.2,,,,,,,4.23,,,,,,,4.48,,,,,,,,5.11,,,,,,9.42,,12.0,,,5.31,,,,,,,,4.94,,,,4.66,,6.75,,3.84,,7.08,,,,,,,,,4.69
2020-07-27,10.52,,5.0,,,4.38,,6.15,,,,,7.63,,,,,,,,,2.0,,,7.77,,3.12,4.04,9.76,,,10.89,,,,,,,,5.63,,,,,,,,6.66,,,,22.0,,9.89,,,,6.85,,,,5.0,,,2.01,,3.43,,,,,5.81,,,12.08,,11.29,,10.49,,,,3.6,,,,,,,4.23,,,,,,,4.52,,,,,,,,5.1,,,,,,9.44,,12.0,,,5.33,,,,,,,,4.89,,,,4.65,,6.72,,4.16,,6.65,,,,,,,,,4.69
2020-07-28,10.42,,5.0,,,4.38,,6.15,,,,,7.4,,,,,,,,,2.0,,,7.81,,3.18,4.05,9.6,,,10.82,,,,,4.26,,,5.65,,,,,,,,6.67,,,,,,9.91,,,,7.14,,,,5.0,,,2.0,,3.44,,,,,5.72,,,15.35,,11.26,,10.18,,,,3.6,,,,,,,4.28,,,,,,,4.55,,,,,,,,4.83,,,,,,9.44,,12.0,,,5.36,,,,,,,,4.81,,,,4.49,,6.67,,4.2,,6.39,,,,,,,,,4.69
2020-07-29,10.33,,5.0,,,4.69,,6.15,,,,,7.4,,,,,,,,,2.0,,,7.87,,3.41,4.08,9.26,,,10.83,,,,,4.31,,,5.66,,,,,,,,6.6,,,,,,9.96,,,,5.41,,,,5.17,,,2.01,,3.43,,,,,5.57,,,16.34,,11.08,,10.87,,,,3.6,,,,,,,,,,,,,,4.53,,,,,,,,4.72,,,,,,9.43,,12.0,,,5.35,,,,,,,,4.79,,,,4.47,,6.5,,4.19,,6.39,,,,,,,,,4.69
2020-07-30,11.51,,5.0,,,4.69,,6.15,,,,,7.4,,,,,,,,,2.0,,,7.88,,3.41,4.07,9.34,,,9.91,,,,,,,,5.44,,,,,,,,6.54,,,,,,9.96,,,,3.69,,,,5.28,,,2.06,,3.52,,,,,5.57,,8.43,15.72,,11.07,,10.26,,,,3.6,,,,,,,,,,,,,,4.51,,,,,,,,5.09,,,,,,9.42,,12.16,,,5.32,,,,,,,,4.82,,,,4.53,,6.74,,4.12,,7.11,,,,,,,,,4.69
2020-07-31,11.57,,5.0,,,4.69,,6.15,,,,,7.54,,,,,,,,,2.0,,,7.82,,3.37,4.04,9.28,,,7.46,,,,,4.25,,,5.42,,,,,,,,6.54,,,,,,10.01,,,,3.69,,,,5.28,,,2.08,,3.65,,,,,5.57,,,15.31,,11.54,,10.34,,,,3.6,,,,,,,4.38,,,,,,,4.51,,,,,,,,5.12,,,,,,9.42,,12.6,,,5.3,,,,,,,,4.92,,,,4.64,,6.92,,4.03,,7.22,,,,,,,,,4.69
2020-08-01,12.29,,4.99,,3.83,4.69,,6.15,,,,,7.6,,,,,,,,,2.0,,,7.8,,3.37,4.02,9.22,,,6.44,,,,,4.72,,,5.41,,,,,,,,6.55,,,,,,9.95,,,,6.44,,,,5.28,,,2.08,,3.64,,,,,4.81,,8.43,14.37,,12.62,,10.81,,,,3.68,,,,,,,4.78,,,,,,,4.52,,,,,,,,4.99,,,,,,9.43,,12.6,,,5.33,,,,,,,,4.89,,,,5.07,,6.81,,4.03,,7.23,,,,,,,,,4.69
2020-08-02,10.2,,4.97,,4.14,4.69,,6.33,,,,,7.51,,,,,,,,11.0,2.0,,,7.79,,3.37,4.04,9.21,,,5.95,,,,,5.74,,,5.43,,,,,,,,6.38,,,,22.0,,9.93,,,,8.39,,,,5.28,,,2.05,,4.35,,,,,4.53,,8.44,11.2,,12.68,,11.08,,,,3.72,,,,,,,5.48,,,,,,,4.43,,10.66,,,,,,4.22,,,,,,9.42,,12.6,,,5.34,,,,,,,,4.81,,,,5.33,,6.24,,3.71,,7.23,,,,,,,4.02,,4.69
2020-08-03,10.15,,4.97,,,4.69,,7.7,,,,,7.31,,,,,,,,11.05,2.0,,,7.82,,3.34,4.12,9.22,,,5.93,,,,,5.48,,,5.47,,,,,,,,5.9,,,,22.0,,9.95,,,,4.09,,,,5.28,,,2.05,,3.99,,,,,3.83,,9.53,11.21,,12.21,,10.57,,,,3.61,,,,,,,5.61,,,,,,,4.4,,10.54,,,,,,5.21,,,,,,8.94,,12.6,,,5.4,,,,,,,,4.83,,,,5.13,,6.11,,3.61,,7.23,,,,,,,4.02,,4.69
2020-08-04,10.3,,4.69,,4.27,5.0,,8.08,,,,,7.2,,,,,,,,11.02,2.0,,,7.82,,3.34,4.07,9.24,,,6.08,,,,,4.2,,,5.51,,,,,,,,6.01,,,,22.0,,9.97,,,,3.44,,,,4.65,,,,,2.97,,,,,4.49,,,11.69,,,,9.63,,,,3.6,,,,,,,4.21,,,,,,,4.55,,,,,,,,5.18,,,,,,8.76,,13.0,,,5.36,,,,,,,,4.72,,,,4.83,,6.23,,3.22,,6.86,,,,,,,4.02,,4.69
2020-08-05,,,5.46,,4.26,5.0,,8.08,,,,,7.2,,,,,,,,11.02,2.0,,,7.82,,,4.09,9.25,,,6.03,,,,,4.2,,,5.46,,,,,,,,6.06,,,,22.0,,9.97,,,,,,,,5.95,,,2.07,,2.97,,,,,4.72,,12.94,10.15,,13.81,,,,,,3.6,,,,,,,4.21,,,,,,,4.56,,10.28,,,,,,5.21,,,,,,8.63,,13.0,,,5.38,,,,,,,,4.73,,,,4.81,,6.35,,3.07,,6.85,,,,,,,4.02,,4.69
2020-08-06,10.3,,5.02,,4.25,5.16,,7.61,,,,,7.2,,,,,,,,11.02,2.0,,,7.8,,3.34,4.06,9.25,,,7.58,,,,,4.2,,,5.36,,,,,,,,6.08,,,,22.0,,9.98,,,,3.2,,,,5.0,,,2.08,,2.97,,,,,4.98,,12.29,9.15,,14.12,,9.41,,,,3.6,,,,,,,4.26,,,,,,,4.53,,,,,,,,5.2,,,,,,8.56,,13.0,,,5.35,,,,,,,,4.79,,,,4.8,,5.14,,3.03,,6.46,,,,,,,4.02,,4.69
2020-08-07,12.37,,4.69,,4.23,5.31,,7.24,,,,,7.2,,,,,,,,11.02,2.0,,,,,3.34,4.1,9.19,,,6.14,,,,,,,,5.17,,2.94,,,,,,6.25,,,,22.0,,9.96,,,,2.99,,,,5.04,,,2.05,3.75,2.97,,,,,3.74,,,9.48,,12.72,,8.55,,,5.3,3.6,,,,,,,4.02,,,,,,,4.59,,10.28,,,,,,5.26,,,,,,8.59,,13.0,,,5.38,,,,,,,,4.76,,,,4.77,,4.98,,3.17,,6.33,,,7.64,,,,4.02,,4.69
2020-08-08,,,4.73,,,5.31,,6.92,,,,,7.2,,,,,,,,11.0,2.0,,,7.8,,3.31,4.11,9.21,,,6.57,,,,,,,,5.15,,2.94,,,,,,6.28,,,,22.0,,9.95,,,,3.01,,,,5.04,,,2.05,3.75,2.97,,,,,2.0,,,11.52,,11.87,,8.44,,,5.3,3.6,,,,,,,3.85,,,,,,,4.54,,10.45,,,,,,5.52,,,,,,8.68,,13.0,,,5.38,,,,,,,,,,,,4.56,,5.08,,3.38,,6.41,,,7.59,,,,3.75,,4.69
2020-08-09,,,4.46,,,5.31,,6.92,,,,,7.13,,,,,,,,10.96,2.0,,,7.82,,3.32,4.05,9.23,,,7.33,,,,,,,,5.13,,2.94,,,,,,6.42,,,,22.0,,10.0,,,,3.0,,,,5.0,,,2.08,,2.9,,,,,2.0,,12.07,13.48,,11.36,,8.43,,,,3.3,,,,,,,3.92,,,,,,,4.53,,10.48,,,,,,5.52,,,,,,10.18,,12.07,,,5.34,,,,,,,,4.23,,,,4.4,,5.13,,3.45,,6.48,,,,,,,3.53,,4.69
2020-08-10,12.51,,4.38,,,5.31,,6.92,,,,,6.6,,,,,,,,10.96,2.0,,,7.83,,,4.06,8.37,,,7.16,,,,,,,,5.25,,,,,,,,6.66,,,,22.0,,10.01,,,,3.0,,,,5.0,,,,,2.58,,,,,2.0,,,13.26,,,,8.32,,,,3.0,,,,,,,4.21,,,,,,,4.53,,,,8.18,,,,5.53,,,,,,10.8,,12.0,,,5.34,,,,,,,,3.83,,,,4.49,,5.05,,2.62,,6.52,,,,,,,3.58,,4.69
2020-08-11,12.51,,4.37,,,5.31,,6.92,,,,,6.6,,,,,,,,10.99,1.96,,,7.86,,,4.06,8.65,,,6.12,,,,,3.81,,,5.27,,,,,,,,6.69,,,,22.0,,10.01,,,,3.77,,,,5.0,,,,,2.57,,,,,2.0,,7.84,11.36,,,,8.37,,,,3.0,,,,,,,4.11,,,,,,,4.93,,,,8.18,,,,5.48,,,,,,10.01,,12.03,,,5.34,,,,,,,,4.82,,,,4.27,,5.02,,2.45,,5.73,,,,,,,,,4.69
2020-08-12,8.52,,4.38,,,5.31,,6.92,,,,,6.6,,,,,,,,10.99,1.9,,,7.82,,,4.05,8.01,,,6.06,,,,,,,,5.37,,,,,,,,6.68,,,,22.0,,9.99,,,,3.81,,,,4.97,,,,,2.57,,,,,2.0,,7.5,11.58,,11.74,,8.51,,,,3.0,,,,,,,,,,,,,,4.82,,,,8.18,,,,5.52,,,,,,9.2,,13.0,,,5.34,,,,,,,,4.18,,,,4.52,,5.2,,4.42,,5.73,,,,,,,3.57,,4.69
2020-08-13,7.39,,4.37,,,5.32,,6.92,,,,,6.6,,,,,,,,,1.9,,,7.87,,,4.06,6.67,,,5.3,,,,,3.2,,,5.46,,,,,,,,6.41,,,,22.0,,10.0,,,,,,,,4.72,,,,,2.58,,,,,2.09,,,11.39,,11.73,,8.53,,,,3.0,,,,,,,3.81,,,,,,,4.78,,,,,,,,5.51,,,,,,8.94,,13.0,,,5.36,,,,,,,,3.59,,,,5.12,,5.31,,2.87,,5.71,,,,,,,3.58,,4.69
2020-08-14,8.35,,4.37,,,5.31,,6.15,,,,,6.2,,,,,,,,13.09,1.9,,,7.93,,3.4,4.07,9.36,,,5.3,,,,,2.83,,,5.46,,,,,,,,6.31,,,,22.0,,10.09,,,,4.12,,,,4.58,,,2.23,,1.78,,,,,6.54,,,9.63,,11.68,,8.41,,,,2.6,,,,,,,2.84,,,,0.78,,,4.8,,,,,,,,5.54,,,,,,8.52,,13.1,,,5.36,,,,,,,,4.57,,,,4.46,,5.04,,2.66,,5.35,,,7.39,,,,4.61,,3.75
